IP ADDRESS,TIME,REQUEST,STATUS,BODY BYTES,HTTP REFERER,USER AGENT,HTTP X FORWARD
"('66.249.81.211', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/plugins/extended-categories-widget/2.8/css/avh-ec.widget.css?ver=3.8.5 HTTP/1.0', '403', '1450')",2
"('66.249.81.208', '03/Feb/2016:00:00:55 +0300', 'GET /wp-includes/js/jquery/jquery.js?ver=1.6.1 HTTP/1.0', '403', '1450')",2
"('66.249.81.211', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/plugins/wp-postratings/postratings-css.css?ver=1.82 HTTP/1.0', '403', '1450')",2
"('66.249.81.211', '03/Feb/2016:00:00:55 +0300', 'GET /wp-includes/js/l10n.js?ver=20101110 HTTP/1.0', '403', '1450')",2
"('66.249.81.208', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/javascript/bootstrap.min.js HTTP/1.0', '403', '1450')",2
"('66.249.81.211', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/javascript/sarkpress_script.js HTTP/1.0', '403', '1450')",2
"('66.249.81.205', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/themes/sark-press/style.css?ver=20121010 HTTP/1.0', '200', '5065')",2
"('66.249.81.211', '03/Feb/2016:00:00:55 +0300', 'GET /wp-includes/js/comment-reply.js?ver=20090102 HTTP/1.0', '403', '1450')",2
"('185.26.180.145', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/plugins/wp-postratings/images/stars/rating_on.gif HTTP/1.0', '200', '523')",2
"('185.26.180.145', '03/Feb/2016:00:00:55 +0300', 'GET /wp-content/plugins/wp-postratings/images/loading.gif HTTP/1.0', '200', '771')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/themes/sark-press/stylesheet/fonts.css?ver=20121010 HTTP/1.0', '200', '279')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/plugins/extended-categories-widget/2.8/css/avh-ec.widget.css?ver=3.8.5 HTTP/1.0', '200', '119')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/plugins/wp-postratings/postratings-css.css?ver=1.82 HTTP/1.0', '200', '425')",2
"('66.249.81.205', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/plugins/wp-postratings/postratings-js.js?ver=1.82 HTTP/1.0', '200', '752')",2
"('66.249.81.211', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/plugins/wp-postratings/images/stars/rating_on.gif HTTP/1.0', '403', '1450')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-includes/js/jquery/jquery.js?ver=1.6.1 HTTP/1.0', '200', '31953')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/themes/sark-press/stylesheet/bootstrap.css?ver=20121010 HTTP/1.0', '200', '19519')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-includes/js/l10n.js?ver=20101110 HTTP/1.0', '200', '221')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-includes/js/comment-reply.js?ver=20090102 HTTP/1.0', '200', '412')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/themes/sark-press/javascript/sarkpress_script.js HTTP/1.0', '200', '137')",2
"('93.84.16.70', '03/Feb/2016:00:00:56 +0300', 'GET /wp-content/themes/sark-press/javascript/bootstrap.min.js HTTP/1.0', '200', '7679')",2
